iter	Logloss
0	0.6247335087
1	0.5793471923
2	0.5383335555
3	0.5168546152
4	0.472951667
5	0.4486387363
6	0.4255511113
7	0.4004200333
8	0.380829069
9	0.3731370051
10	0.3589638684
11	0.3529304438
12	0.3421750489
13	0.3373910022
14	0.3257555711
15	0.3224267271
16	0.3113579158
17	0.3036068655
18	0.2945360145
19	0.2895636262
20	0.2881164397
21	0.2823113914
22	0.279631794
23	0.2735068328
24	0.2688277854
25	0.2642145434
26	0.2636857925
27	0.26054538
28	0.2559489036
29	0.2523264554
30	0.2489755701
31	0.2468511417
32	0.2441919819
33	0.2415892341
34	0.2380545661
35	0.2355730625
36	0.2325591902
37	0.2303988597
38	0.2285384067
39	0.2275118307
40	0.2249557876
41	0.2232390032
42	0.2213715501
43	0.2202242494
44	0.2193997722
45	0.2192661755
46	0.2184330075
47	0.2172849109
48	0.2165790255
49	0.2161347562
50	0.2150761556
51	0.2131662109
52	0.2114680881
53	0.2101750544
54	0.2096254051
55	0.2091418434
56	0.2085051024
57	0.207189012
58	0.2056099511
59	0.2053917689
60	0.204705435
61	0.2040358882
62	0.2037480935
63	0.2031864575
64	0.2028519292
65	0.2027411392
66	0.2022510186
67	0.2014066262
68	0.2005674591
69	0.199463333
70	0.1993000869
71	0.1983195437
72	0.1978713954
73	0.197383701
74	0.1964745007
75	0.1959261856
76	0.19557697
77	0.1947704246
78	0.1934955765
79	0.1929600741
80	0.1926643427
81	0.1920766009
82	0.1917314905
83	0.1912610435
84	0.1910821666
85	0.1905744733
86	0.1899710665
87	0.1894286671
88	0.1891837596
89	0.1889280125
90	0.1881332396
91	0.1870211359
92	0.1863323451
93	0.1860063865
94	0.1853469617
95	0.1850732824
96	0.1843329251
97	0.1839599635
98	0.183316415
99	0.1818296006
100	0.181052681
101	0.17997564
102	0.1798789057
103	0.1793379844
104	0.1792139738
105	0.178851551
106	0.178596809
107	0.1777196594
108	0.17713179
109	0.1767529516
110	0.1759965383
111	0.1750644332
112	0.1746216316
113	0.1743655936
114	0.1733975192
115	0.1730815027
116	0.172063571
117	0.1716535796
118	0.171184519
119	0.1711623856
120	0.1707012235
121	0.1706652141
122	0.1703474655
123	0.1697567989
124	0.1693546692
125	0.1688706647
126	0.1686583602
127	0.1680655679
128	0.1675581634
129	0.1668559266
130	0.1661017147
131	0.1657760796
132	0.1653784555
